Nr4a3,91,Nr4a3,0  0  0  0  0  0  0  1  1  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0
Tal1,92,Tal1,0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  1  0  0  1  0  0  0  0  0  0  0  0
Pax7,93,Pax7,0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  1
Vwa5b1,94,Vwa5b1,0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  1  0  0  1  0  0  0
Sema3c,95,Sema3c,0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0
Grik3,96,Grik3,0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  1  0
Rspo1,97,Rspo1,0  0  0  0  0  1  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0
Fosl2,98,Fosl2,0  0  0  0  0  0  0  0  1  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0
Slc30a3,99,Slc30a3,0  0  0  0  0  0  0  0  0  0  0  1  0  1  1  0  0  0  0  0  0  0  0  1  0  0  0
Bmp3,100,Bmp3,0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  1  1  0  0  0
Slc17a6,101,Slc17a6,0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  1  1  0  0  0  0  0  0  0  0  0
Nr2f2,102,Nr2f2,1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0
Calcb,103,Calcb,0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  1  1  0
Crym,104,Crym,0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  1  0  1
Grpr,105,Grpr,0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  1  0  0  1  0  0
Vegfc,106,Vegfc,0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0
Hpgd,107,Hpgd,0  1  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0
Gpr83,108,Gpr83,1  0  0  0  1  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
Kcnj5,109,Kcnj5,0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  1  0  1  0  0  0  0
Dscaml1,110,Dscaml1,0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0
Tent5a,111,Tent5a,0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0
Gsta4,112,Gsta4,0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0
Zic1,113,Zic1,0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  1  0  0
Rwdd2a,114,Rwdd2a,0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0
Tgfbr2,115,Tgfbr2,0  0  0  0  0  0  1  0  0  0  0  1  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0
Eomes,116,Eomes,0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  0
Stac,117,Stac,1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  1
Lama1,118,Lama1,0  0  0  1  0  1  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
Cpa6,119,Cpa6,0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0
Fras1,120,Fras1,0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0
Isl1,121,Isl1,0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0
Col27a1,122,Col27a1,0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  1
Cdh6,123,Cdh6,0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0
Htr2a,124,Htr2a,0  1  1  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
Lmo1,125,Lmo1,0  1  0  0  0  0  0  0  0  0  0  1  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0
Tfap2d,126,Tfap2d,0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0
Nrn1,127,Nrn1,0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0
Ptprm,128,Ptprm,1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0
Fstl5,129,Fstl5,0  0  0  0  0  0  1  0  1  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0
Sox5,130,Sox5,0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0
Trhr,131,Trhr,0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  1  0  0  0  0
Zic5,132,Zic5,0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0
Dock5,133,Dock5,0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  1  0  0  0  0  0  0  0  1  0
Kcnh8,134,Kcnh8,0  0  0  0  1  0  1  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0
Egln3,135,Egln3,0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  1  1  0  0  0  0  0
Ror1,136,Ror1,1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0
Acta2,137,Acta2,0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0
Tox,138,Tox,0  0  0  0  0  0  0  1  0  1  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
Tbcc,139,Tbcc,0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0
Parm1,140,Parm1,1  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0
Necab1,141,Necab1,0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1
Drd5,142,Drd5,0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  1  0  0  0  0
Esyt3,143,Esyt3,0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1
Npnt,144,Npnt,0  0  0  1  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0
Scn7a,145,Scn7a,0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0
Svep1,146,Svep1,0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0
Pde3a,147,Pde3a,0  0  0  0  0  1  1  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
Cldn5,148,Cldn5,0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1
Npbwr1,149,Npbwr1,0  0  0  0  1  0  0  0  0  1  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0
St6galnac5,150,St6galnac5,0  0  0  0  1  0  0  1  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0
Igfbpl1,151,Igfbpl1,0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  1  0  0  0  0  0  0
Grm1,152,Grm1,0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0
Foxa1,153,Foxa1,0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  1  1  0  0
Kcnk9,154,Kcnk9,0  0  0  0  0  1  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0
Lgr6,155,Lgr6,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  1  1
Ramp3,156,Ramp3,0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  1  0  0  0  0  1  0  0
Cftr,157,Cftr,0  0  0  0  0  0  0  1  0  0  1  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
Slc32a1,158,Slc32a1,0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0
Spon1,159,Spon1,0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  1  0  0  0  1  0  0
Lhx9,160,Lhx9,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  1  1  0  0  0  0
Igfbp2,161,Igfbp2,0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  1  0  0  1  0  0  0  0
Piezo2,162,Piezo2,0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1
Egr2,163,Egr2,0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0
Hoxb5,164,Hoxb5,0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0
Ttc29,165,Ttc29,0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  1
Spin2c,166,Spin2c,0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0
Ccn3,167,Ccn3,0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1
Elfn1,168,Elfn1,0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0
Cited1,169,Cited1,0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  1
Tmie,170,Tmie,0  1  1  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0
Il31ra,171,Il31ra,0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0
Onecut3,172,Onecut3,0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  1  0  0  0  1
Hoxb8,173,Hoxb8,0  0  0  1  0  0  0  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
Ckap2l,174,Ckap2l,0  0  0  0  0  0  1  0  0  1  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
Ppp1r17,175,Ppp1r17,0  0  1  1  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
Adamts19,176,Adamts19,0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0
Chst9,177,Chst9,0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  1  0
Dmrt2,178,Dmrt2,0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  1  0
Oxtr,179,Oxtr,0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0
Zfpm2,180,Zfpm2,1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0
Pou3f1,181,Pou3f1,0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0
Foxo1,182,Foxo1,0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0
Stxbp6,183,Stxbp6,0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1
Vwc2l,184,Vwc2l,0  0  1  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
Kctd8,185,Kctd8,1  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0
Ndnf,186,Ndnf,0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0
Sox14,187,Sox14,0  0  0  1  1  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0
Pou3f3,188,Pou3f3,0  1  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
Arhgap15,189,Arhgap15,0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0
Oprd1,190,Oprd1,0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  0  1  0  0  0
Vwc2,191,Vwc2,0  1  1  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
Slc6a5,192,Slc6a5,0  0  1  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
Osr1,193,Osr1,0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  1  0  0  1  0  0  0
Cnr1,194,Cnr1,0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  1  0  0
Lamp5,195,Lamp5,0  0  0  0  0  1  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1
Gpr101,196,Gpr101,0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  1
C1ql1,197,C1ql1,0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0
Rxfp3,198,Rxfp3,0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  1  1  0  0  0  0
Gpr149,199,Gpr149,0  1  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0
Pdgfd,200,Pdgfd,0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  1  0  0  0
Cd24a,201,Cd24a,0  1  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0
