version,1
codebook_name,BRBB_500Markergn
bit_names,bit1,bit2,bit3,bit4,bit5,bit6,bit7,bit8,bit9,bit10,bit11,bit12,bit13,bit14,bit15,bit16,bit17,bit18,bit19,bit20,bit21,bit22,bit23,bit24,bit25,bit26,bit27
name,numeric_id,id,barcode,distribution
Igf2,0,Igf2,0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1  0,10
Ccnd2,1,Ccnd2,0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1,10
Th,2,Th,0  0  0  0  1  0  0  0  1  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0,10
Lhx2,3,Lhx2,0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  0  0  0  0  0  0  0  0  0  1,10
Glra3,4,Glra3,0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0,10
Dbh,5,Dbh,0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0,10
Slc7a10,6,Slc7a10,0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  1  0  0,10
Evx2,7,Evx2,0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  1  0  0,10
Npas1,8,Npas1,0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  1  1  0  0  0  0,10
Prkd1,9,Prkd1,0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0,10
Grin2c,10,Grin2c,0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  1  0  0  0  1  0  0  0  0,10
Rab3b,11,Rab3b,1  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0,10
Calb2,12,Calb2,0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  1  0  0  0  0  1,10
Man1a,13,Man1a,0  0  0  1  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0,10
Grm3,14,Grm3,0  0  0  0  0  0  1  1  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0,10
Aqp1,15,Aqp1,0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  1  1  0  0  0  0  0  0  0,10
Ccn4,16,Ccn4,0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  1  0,10
Slc1a3,17,Slc1a3,0  0  0  1  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1,10
Kit,18,Kit,0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0,10
Pvalb,19,Pvalb,0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  1  0  0  0  0  1  0  0  0  0  0,10
Kif11,20,Kif11,0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0
Phox2b,21,Phox2b,0  0  0  0  0  1  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1  0  0  0  0  0,10
Pax5,22,Pax5,0  0  0  0  0  0  0  0  0  1  1  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0,10
Cpne8,23,Cpne8,0  1  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0,10
Fam163a,24,Fam163a,0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  1  0,10
Lpl,25,Lpl,0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0,10
Fli1,26,Fli1,0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  1  0  1  0  0  0  0,10
Cd34,27,Cd34,0  0  0  0  0  0  0  0  1  0  1  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0,10
Igfbp4,28,Igfbp4,0  0  0  0  0  0  0  0  0  0  1  0  1  0  1  0  0  0  0  0  0  0  0  0  1  0  0,10
Kcnab3,29,Kcnab3,0  0  0  1  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0,10
Lhx1,30,Lhx1,0  1  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0,10
Vip,31,Vip,1  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0,10
Popdc3,32,Popdc3,0  1  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0,10
Nts,33,Nts,0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  1  0  0  0  0,10
Slc17a8,34,Slc17a8,0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  1  0  0  0  0  1  0,10
Wif1,35,Wif1,0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  0  0  0  0  0  0  0  0  0  0  1  0,10
Sntg2,36,Sntg2,0  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  0  0,10
Slc6a4,37,Slc6a4,0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  1  0  0  1  0  0  0  0  0,10
Ntn1,38,Ntn1,0  1  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0,10
Ngb,39,Ngb,0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  1  0  0  1  0  0  0  0,10
Scgn,40,Scgn,0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1  0  1  0  0,10
Cxcl14,41,Cxcl14,0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  1  0  1  0  0  0  0  0  0  0  0,10
Adcy2,42,Adcy2,1  0  0  0  1  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0,10
Trpc7,43,Trpc7,0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  1,10
Slc6a3,44,Slc6a3,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1  1  0  1  0  0  0  0  0  0  0,10
Cartpt,45,Cartpt,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  1  0  0  0  0  1,10
Otp,46,Otp,0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  1  0  0  0  1  0  0  0  0  0,10
Fgf10,47,Fgf10,0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  1  0,10
Ptk2b,48,Ptk2b,0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  1,10
Angpt1,49,Angpt1,0  0  0  0  0  0  0  0  1  0  0  0  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0,10
Chodl,50,Chodl,0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0,10
Clic6,51,Clic6,0  0  0  0  0  0  1  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0
Aqp6,52,Aqp6,0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  1  1  0  0
Igfbp6,53,Igfbp6,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  1  0  0  1
Smoc2,54,Smoc2,0  0  0  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  1  0  0
Clic5,55,Clic5,0  0  0  0  0  0  0  0  1  1  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0
Arhgap28,56,Arhgap28,0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  1  1  0  0
Galnt14,57,Galnt14,0  0  0  0  0  0  1  1  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0
Vit,58,Vit,0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  0
Cidea,59,Cidea,0  0  0  0  1  0  0  0  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
Fbn2,60,Fbn2,0  1  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0
Kazald1,61,Kazald1,0  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0
Tac2,62,Tac2,0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  1  1  0  0  0  0  0  0  0
Nrp1,63,Nrp1,0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  0
Tfap2b,64,Tfap2b,0  0  0  0  0  1  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  0
Pth2r,65,Pth2r,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  1  0  0  1  0  0
Epha4,66,Epha4,0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  1  0  0  0
Serpine2,67,Serpine2,0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  1  0  0  0  0  0
Mcm6,68,Mcm6,0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0
Cnih3,69,Cnih3,0  0  0  1  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0
Cd247,70,Cd247,0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  1  0  0
Ccdc3,71,Ccdc3,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  1  1  0  1
Rgs4,72,Rgs4,0  0  0  0  0  0  0  0  0  0  0  1  1  1  0  0  0  0  0  1  0  0  0  0  0  0  0
Prkcq,73,Prkcq,0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  1  0  0  1  0  0  0  0  0  0
Gad2,74,Gad2,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  1  1  0
Nr4a2,75,Nr4a2,0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  1  0  1  0  0  0  0
Fibcd1,76,Fibcd1,0  0  0  0  0  0  0  1  0  0  0  0  1  0  1  0  0  0  0  0  0  0  0  1  0  0  0
Col5a1,77,Col5a1,0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  1
Pax8,78,Pax8,0  0  0  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  1  0  0  0  0  0  1
Frzb,79,Frzb,0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  0  1
Creb3l1,80,Creb3l1,0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  1  1  0  0  0  0  0  0  0  0  0
Lrp4,81,Lrp4,0  0  0  0  0  0  0  0  0  1  0  1  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0
Hdc,82,Hdc,0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  1  0  0  0  0  0  1  0  0  0  0  0
Pdyn,83,Pdyn,0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  1  0  0  0  0  0  1  0  0  0  0  0
Slc7a11,84,Slc7a11,0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  1  0  0  0  0  0
Syt10,85,Syt10,0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  1  0
Npy2r,86,Npy2r,1  0  0  0  0  0  1  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0
Tacr3,87,Tacr3,0  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  1  0  1  0  0  0  0  0
Col24a1,88,Col24a1,0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0
Calb1,89,Calb1,0  0  0  0  1  0  0  1  0  0  0  0  0  1  0  0  0  0  0  0  1  0  0  0  0  0  0
Bmpr1b,90,Bmpr1b,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  1  0  1  0
